Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days
1997-09-29,10.625,10.625,10.375,10.375,10.375,44200,VSAT,0.8945783132530121,0.6656626506024096,0.7650602409638554
1997-09-30,10.5625,10.5625,10.375,10.375,10.375,340400,VSAT,0.8614457831325302,0.6686746987951807,0.7771084337349398
1997-10-01,10.625,10.625,9.875,10.1875,10.1875,133000,VSAT,0.901840490797546,0.6809815950920245,0.7484662576687117
1997-10-02,10.1875,10.5,10.1875,10.34375,10.34375,44000,VSAT,0.8821752265861027,0.6706948640483383,0.7613293051359517
1997-10-03,10.28125,11.03125,10.28125,11.03125,11.03125,200200,VSAT,0.8158640226628895,0.623229461756374,0.7110481586402266
1997-10-06,11.6875,12.1875,11.125,11.9375,11.9375,218600,VSAT,0.7539267015706806,0.5575916230366492,0.6282722513089005
1997-10-07,12.1875,12.1875,11.5625,11.875,11.875,89200,VSAT,0.75,0.5421052631578948,0.631578947368421
1997-10-08,11.9375,12.03125,11.25,11.5625,11.5625,72400,VSAT,0.7405405405405405,0.6108108108108108,0.6594594594594595
1997-10-09,11.375,11.75,11.375,11.625,11.625,118800,VSAT,0.7258064516129032,0.5967741935483871,0.6532258064516129
1997-10-10,11.6875,11.6875,11.375,11.375,11.375,25000,VSAT,0.7802197802197802,0.6043956043956044,0.6538461538461539
1997-10-13,11.6875,11.6875,11.375,11.625,11.625,58000,VSAT,0.728494623655914,0.5967741935483871,0.6451612903225806
1997-10-14,11.375,11.6875,11.25,11.5625,11.5625,45400,VSAT,0.745945945945946,0.6405405405405405,0.654054054054054
1997-10-15,11.75,11.75,11.375,11.5,11.5,27000,VSAT,0.7391304347826086,0.6684782608695652,0.6086956521739131
1997-10-16,11.59375,11.59375,10.9375,10.9375,10.9375,74800,VSAT,0.7885714285714286,0.6771428571428572,0.64
1997-10-17,11.0625,11.375,10.125,10.875,10.875,262400,VSAT,0.7816091954022989,0.6896551724137931,0.6666666666666666
